gpu_numbers,vc_order,time_from_start
1,6,5426942.0
1,6,5426916.0
1,6,5424033.0
1,6,5423943.0
1,6,5426616.0
1,6,5426976.0
1,6,5424060.0
1,6,5427020.0
1,6,5426874.0
1,6,5426887.0
1,6,5423909.0
8,14,5429756.0
1,6,5426970.0
1,6,5426874.0
1,6,5426916.0
1,14,5263298.0
1,6,5423685.0
1,6,5426736.0
1,6,5426769.0
1,6,5427023.0
1,6,5423758.0
1,6,5426937.0
1,6,5423884.0
1,6,5423877.0
1,6,5426849.0
1,6,5426744.0
1,6,5426814.0
1,6,5423795.0
1,6,5426513.0
1,6,5423911.0
1,6,5426604.0
1,6,5423862.0
1,6,5426842.0
1,6,5423783.0
1,6,5426325.0
1,6,5426569.0
1,6,5426712.0
1,6,5426800.0
1,6,5423842.0
1,6,5426381.0
1,6,5426696.0
1,6,5426512.0
1,6,5423582.0
1,6,5423824.0
1,6,5426507.0
1,6,5426488.0
1,6,5423896.0
1,2,5429334.0
1,6,5426824.0
1,6,5426852.0
1,6,5423659.0
1,6,5423723.0
1,6,5423720.0
1,6,5423635.0
1,6,5426561.0
1,6,5423584.0
1,6,5426772.0
1,6,5423669.0
1,6,5426715.0
1,6,5423704.0
1,6,5423515.0
1,6,5426619.0
1,6,5426659.0
1,6,5426635.0
1,6,5426664.0
1,6,5426650.0
1,6,5423736.0
1,6,5426674.0
1,6,5426438.0
1,6,5426519.0
1,6,5423550.0
1,6,5423577.0
1,6,5426455.0
1,6,5423481.0
1,6,5423512.0
1,6,5426399.0
1,6,5426517.0
1,6,5426484.0
1,6,5426195.0
1,6,5423508.0
1,6,5426348.0
1,6,5426353.0
1,6,5426238.0
1,6,5426450.0
1,6,5426315.0
1,6,5423478.0
1,6,5426389.0
1,6,5426067.0
1,6,5426373.0
1,6,5426281.0
1,6,5423465.0
1,6,5426283.0
1,6,5426287.0
1,6,5426211.0
1,6,5426259.0
1,6,5426329.0
1,6,5426092.0
1,6,5426217.0
1,6,5426310.0
1,6,5426143.0
1,6,5426141.0
1,6,5426252.0
1,6,5426153.0
1,6,5426179.0
1,6,5425864.0
1,6,5426079.0
1,6,5425936.0
1,6,5426002.0
1,6,5423661.0
1,6,5426070.0
1,6,5425990.0
1,6,5426059.0
1,2,5428734.0
1,6,5425874.0
1,6,5425996.0
1,6,5426119.0
1,6,5425970.0
1,6,5425945.0
1,6,5426038.0
1,6,5425914.0
1,6,5426004.0
1,6,5425923.0
1,6,5425750.0
1,6,5426142.0
1,6,5426107.0
1,6,5425970.0
1,6,5425840.0
1,6,5425823.0
1,6,5426088.0
1,6,5425910.0
1,6,5425795.0
1,6,5425905.0
1,6,5425874.0
1,6,5425703.0
8,14,5428522.0
1,6,5425698.0
1,6,5425785.0
1,6,5425789.0
1,6,5425832.0
1,6,5425736.0
1,6,5425695.0
1,6,5425744.0
1,6,5425805.0
1,6,5425657.0
1,6,5425656.0
1,6,5425606.0
1,6,5425592.0
1,6,5425619.0
1,6,5425556.0
1,6,5425628.0
1,6,5425654.0
1,6,5425538.0
1,6,5425559.0
1,6,5425432.0
8,11,5427511.0
1,6,5425456.0
1,6,5425492.0
1,6,5425397.0
1,2,5428134.0
1,6,5425250.0
1,6,5425441.0
1,6,5425315.0
1,6,5425465.0
1,6,5425301.0
1,6,5425436.0
1,6,5425340.0
1,6,5425392.0
1,6,5425343.0
1,6,5425345.0
1,6,5425269.0
2,2,5428106.0
1,6,5425311.0
1,6,5425374.0
2,2,5428083.0
1,6,5425279.0
1,6,5425188.0
1,6,5425336.0
1,6,5425235.0
1,6,5425212.0
1,6,5425159.0
1,6,5424872.0
1,6,5425257.0
1,6,5425159.0
1,6,5424904.0
4,6,5084145.0
1,6,5425245.0
1,6,5425219.0
1,6,5425157.0
1,6,5425126.0
1,6,5425111.0
1,6,5425002.0
1,6,5425157.0
2,0,5325689.0
1,6,5424990.0
1,6,5424976.0
1,6,5425028.0
1,6,5425010.0
1,2,5427534.0
1,6,5424608.0
1,6,5424929.0
1,6,5424874.0
1,6,5424831.0
1,6,5424957.0
1,6,5424941.0
1,6,5424756.0
1,6,5424942.0
1,6,5424713.0
1,6,5424796.0
1,6,5424827.0
1,6,5424858.0
1,6,5424668.0
1,6,5424642.0
1,6,5424783.0
1,6,5424469.0
1,6,5424885.0
1,6,5424807.0
1,6,5424754.0
1,6,5424727.0
1,6,5424760.0
1,6,5424727.0
1,6,5424540.0
1,6,5424772.0
1,6,5424590.0
1,6,5424692.0
1,6,5424556.0
1,6,5424686.0
2,0,5325511.0
1,6,5427177.0
1,6,5424618.0
1,6,5424550.0
1,6,5424662.0
1,6,5427065.0
1,6,5424585.0
1,6,5425488.0
1,6,5427062.0
1,6,5427226.0
1,6,5424507.0
1,6,5424353.0
1,6,5424491.0
1,6,5426997.0
1,6,5424376.0
1,6,5426952.0
1,6,5427040.0
1,6,5424520.0
1,6,5427138.0
1,6,5427062.0
1,6,5424514.0
1,2,5426934.0
1,6,5424459.0
1,6,5424406.0
1,6,5424404.0
1,6,5426944.0
1,6,5427061.0
1,6,5424338.0
1,6,5424408.0
1,6,5424427.0
1,6,5424294.0
1,6,5424330.0
1,6,5426046.0
1,6,5424296.0
1,6,5424187.0
1,6,5424216.0
1,6,5424233.0
1,6,5424146.0
2,0,5325417.0
1,6,5424192.0
1,6,5424271.0
1,6,5424316.0
1,6,5424101.0
1,6,5424163.0
1,6,5424181.0
1,6,5424258.0
1,6,5424149.0
1,6,5424177.0
1,6,5424097.0
1,6,5424115.0
1,6,5424064.0
1,6,5424008.0
1,6,5424008.0
1,6,5423946.0
1,6,5423965.0
1,6,5426485.0
4,11,4517813.0
1,14,5263520.0
1,2,5426334.0
8,4,5200598.0
1,6,5382520.0
1,6,5425722.0
1,6,5424716.0
1,2,5425734.0
1,6,4580786.0
1,6,5419095.0
1,6,4580667.0
1,6,4580779.0
1,6,4580811.0
1,6,4580636.0
1,6,4580637.0
1,2,5425134.0
1,6,5416887.0
1,6,5424989.0
1,6,5424874.0
1,6,5416472.0
1,6,5424749.0
8,14,5414424.0
4,6,5084189.0
1,2,5424534.0
1,6,5418388.0
1,6,5418075.0
1,6,5417941.0
1,6,5418276.0
2,0,5325536.0
